id,age,gender,race,sexuality,chartType,actualValue,perceivedValue,error,time
1550267555213,22,male,white,yes,roseChart,71,20,5.675957032941749,27075
1550267555213,22,male,white,yes,pieChart,36,60,4.592457037268081,14268
1550267555213,22,male,white,yes,pieChart,61,45,4.011227255423254,10896
1550267555213,22,male,white,yes,roseChart,65,30,5.134426320220926,3978
1550267555213,22,male,white,yes,barChart,43,60,4.098032082960526,5755
1550267555213,22,male,white,yes,roseChart,44,10,5.092757140919852,3426
1550267555213,22,male,white,yes,pieChart,28,20,3.0223678130284544,4685
1550267555213,22,male,white,yes,barChart,76,18,5.861086905995394,8904
1550267555213,22,male,white,yes,barChart,7,95,6.461479447286156,5320
1550267555213,22,male,white,yes,roseChart,37,95,5.861086905995394,4676
1550267555213,22,male,white,yes,roseChart,51,75,4.592457037268081,12459
1550267555213,22,male,white,yes,roseChart,54,75,4.400879436282184,2656
1550267555213,22,male,white,yes,barChart,8,90,6.35974956032233,2414
1550267555213,22,male,white,yes,pieChart,76,10,6.047123912114026,2936
1550267555213,22,male,white,yes,pieChart,1,99,6.61654884377899,2600
1550267555213,22,male,white,yes,barChart,40,60,4.330916878114617,9030
1550267555213,22,male,white,yes,roseChart,10,99,6.477758266443888,2540
1550267555213,22,male,white,yes,barChart,98,1,6.60177078840771,4385
1550267555213,22,male,white,yes,pieChart,14,70,5.810571634741147,4630
1550267555213,22,male,white,yes,pieChart,71,80,3.189824558880017,3522
1550267555213,22,male,white,yes,barChart,94,10,6.394462694610317,3458
1550267555213,22,male,white,yes,barChart,4,99,6.571752643503546,2255
1550267555213,22,male,white,yes,barChart,84,10,6.211888294546004,2786
1550267555213,22,male,white,yes,pieChart,83,20,5.980139577639157,2245
1550267555213,22,male,white,yes,roseChart,33,80,5.5584207132686645,2987
1550267555213,22,male,white,yes,pieChart,76,10,6.047123912114026,7228
1550267555213,22,male,white,yes,roseChart,53,20,5.049848549450561,2968
1550267555213,22,male,white,yes,barChart,72,30,5.396604781181859,4233
1550267555213,22,male,white,yes,pieChart,5,99,6.556506054671928,3363
1550267555213,22,male,white,yes,roseChart,11,99,6.461479447286156,1834
1550267555213,22,male,white,yes,roseChart,84,20,6.002815015607054,3420
1550267555213,22,male,white,yes,pieChart,68,30,5.252665432450248,2954
1550267555213,22,male,white,yes,barChart,70,20,5.647458426454921,3301
1550267555213,22,male,white,yes,pieChart,18,80,5.957102041562286,2711
1550267555213,22,male,white,yes,pieChart,12,70,5.861086905995394,3171
1550267555213,22,male,white,yes,barChart,28,70,5.396604781181859,6384
1550267555213,22,male,white,yes,barChart,14,85,6.152284842306582,4358
1550267555213,22,male,white,yes,pieChart,65,65,0,3214
1550267555213,22,male,white,yes,roseChart,26,99,6.1922928144707665,2513
1550267555213,22,male,white,yes,roseChart,3,99,6.586839787961827,2486
1550267555213,22,male,white,yes,barChart,40,50,3.3398500028846247,3445
1550267555213,22,male,white,yes,barChart,70,40,4.912889336229962,3674
1550267555213,22,male,white,yes,roseChart,41,80,5.290018846932618,5087
1550267555213,22,male,white,yes,roseChart,20,90,6.1318569606087925,3151
1550267555213,22,male,white,yes,pieChart,10,90,6.324180546618741,2532
1550267555213,22,male,white,yes,barChart,33,50,4.098032082960526,2574
1550267555213,22,male,white,yes,pieChart,75,10,6.025139562278508,2871
1550267555213,22,male,white,yes,roseChart,43,40,1.6438561897747248,2235
1550267555213,22,male,white,yes,barChart,11,85,6.211888294546004,4508
1550267555213,22,male,white,yes,barChart,62,30,5.005624549193878,4156
1550267555213,22,male,white,yes,barChart,38,40,1.0874628412503393,2997
1550267555213,22,male,white,yes,pieChart,83,10,6.1922928144707665,3780
1550267555213,22,male,white,yes,roseChart,36,80,5.463524373271181,5309
1550267555213,22,male,white,yes,roseChart,60,40,4.330916878114617,12602
1550267555213,22,male,white,yes,roseChart,29,70,5.361943773735241,3049
1550267555213,22,male,white,yes,barChart,71,20,5.675957032941749,2096
1550267555213,22,male,white,yes,pieChart,84,20,6.002815015607054,2132
1550267555213,22,male,white,yes,roseChart,66,50,4.011227255423254,2533
1550267555213,22,male,white,yes,pieChart,18,85,6.0687782779854125,2936
1550267555213,22,male,white,yes,pieChart,92,1,6.509775004326937,3272
