id,age,gender,race,sexuality,chartType,actualValue,perceivedValue,error,time
1550348308719,7,other,indian,decline,pieChart,50,0,5.647458426454921,1661
1550348308719,7,other,indian,decline,pieChart,60,0,5.909893083770042,182
1550348308719,7,other,indian,decline,barChart,57,0,5.836050355058069,132
1550348308719,7,other,indian,decline,pieChart,89,0,6.477758266443888,172
1550348308719,7,other,indian,decline,roseChart,39,0,5.290018846932618,147
1550348308719,7,other,indian,decline,pieChart,88,0,6.461479447286156,149
1550348308719,7,other,indian,decline,barChart,94,0,6.556506054671928,192
1550348308719,7,other,indian,decline,pieChart,15,0,3.9188632372745946,125
1550348308719,7,other,indian,decline,roseChart,33,0,5.049848549450561,297
1550348308719,7,other,indian,decline,barChart,98,0,6.61654884377899,180
1550348308719,7,other,indian,decline,barChart,40,0,5.3264294871223035,150
1550348308719,7,other,indian,decline,roseChart,83,0,6.377210530388552,164
1550348308719,7,other,indian,decline,pieChart,71,0,6.152284842306582,183
1550348308719,7,other,indian,decline,barChart,78,0,6.28771237954945,118
1550348308719,7,other,indian,decline,roseChart,10,0,3.3398500028846247,176
1550348308719,7,other,indian,decline,pieChart,22,0,4.467605550082998,144
1550348308719,7,other,indian,decline,pieChart,26,0,4.7073591320808825,186
1550348308719,7,other,indian,decline,roseChart,78,0,6.28771237954945,150
1550348308719,7,other,indian,decline,roseChart,28,0,4.813781191217037,173
1550348308719,7,other,indian,decline,roseChart,64,0,6.002815015607054,168
1550348308719,7,other,indian,decline,roseChart,90,0,6.493855449240822,146
1550348308719,7,other,indian,decline,pieChart,53,0,5.731319031025064,155
1550348308719,7,other,indian,decline,pieChart,43,0,5.430452551665532,154
1550348308719,7,other,indian,decline,roseChart,14,00,3.820178962415188,201
1550348308719,7,other,indian,decline,pieChart,78,0,6.28771237954945,125
1550348308719,7,other,indian,decline,barChart,9,0,3.189824558880017,194
1550348308719,7,other,indian,decline,roseChart,28,0,4.813781191217037,153
1550348308719,7,other,indian,decline,pieChart,22,0,4.467605550082998,768
1550348308719,7,other,indian,decline,roseChart,11,00,3.4757334309663976,247
1550348308719,7,other,indian,decline,pieChart,26,0,4.7073591320808825,220
1550348308719,7,other,indian,decline,barChart,15,0,3.9188632372745946,202
1550348308719,7,other,indian,decline,pieChart,19,0,4.257387842692652,193
1550348308719,7,other,indian,decline,pieChart,3,0,1.6438561897747248,198
1550348308719,7,other,indian,decline,roseChart,79,0,6.306061689428342,162
1550348308719,7,other,indian,decline,roseChart,34,0,5.092757140919852,223
1550348308719,7,other,indian,decline,roseChart,81,00,6.342074667999139,354
1550348308719,7,other,indian,decline,barChart,10,0,3.3398500028846247,220
1550348308719,7,other,indian,decline,pieChart,7,0,2.8328900141647417,190
1550348308719,7,other,indian,decline,barChart,66,0,6.047123912114026,224
1550348308719,7,other,indian,decline,pieChart,48,0,5.588714635582264,199
1550348308719,7,other,indian,decline,pieChart,94,0,6.556506054671928,174
1550348308719,7,other,indian,decline,roseChart,66,0,6.047123912114026,186
1550348308719,7,other,indian,decline,pieChart,12,0,3.599912842187128,157
1550348308719,7,other,indian,decline,barChart,100,00,6.64565843240871,208
1550348308719,7,other,indian,decline,roseChart,87,0,6.445014845868423,326
1550348308719,7,other,indian,decline,roseChart,8,0,3.0223678130284544,185
1550348308719,7,other,indian,decline,roseChart,93,00,6.541096615349524,241
1550348308719,7,other,indian,decline,roseChart,0,0,0,269
1550348308719,7,other,indian,decline,barChart,44,0,5.463524373271181,215
1550348308719,7,other,indian,decline,barChart,59,00,5.885696373339395,342
1550348308719,7,other,indian,decline,pieChart,61,0,5.933690654952234,340
1550348308719,7,other,indian,decline,barChart,82,0,6.35974956032233,169
1550348308719,7,other,indian,decline,roseChart,93,0,6.541096615349524,212
1550348308719,7,other,indian,decline,barChart,54,0,5.7582232147267245,220
1550348308719,7,other,indian,decline,barChart,6,0,2.6147098441152083,198
1550348308719,7,other,indian,decline,barChart,4,0,2.0443941193584534,195
1550348308719,7,other,indian,decline,barChart,46,0,5.527477006060396,160
1550348308719,7,other,indian,decline,barChart,30,0,4.912889336229962,205
1550348308719,7,other,indian,decline,barChart,56,00,5.810571634741147,206
1550348308719,7,other,indian,decline,barChart,89,0,6.477758266443888,1178
