id,age,gender,race,sexuality,chartType,actualValue,perceivedValue,error,time
1550021246742,22,male,white,no,barChart,48,51,1.6438561897747248,14224
1550021246742,22,male,white,no,pieChart,3,5,1.0874628412503393,11469
1550021246742,22,male,white,no,pieChart,54,70,4.011227255423254,10519
1550021246742,22,male,white,no,pieChart,28,35,2.8328900141647417,12150
1550021246742,22,male,white,no,barChart,19,18,0.16992500144231237,5998
1550021246742,22,male,white,no,roseChart,14,5,3.189824558880017,9413
1550021246742,22,male,white,no,barChart,26,26,0,6771
1550021246742,22,male,white,no,pieChart,91,97,2.6147098441152083,6069
1550021246742,22,male,white,no,roseChart,47,20,4.7615512324444795,13772
1550021246742,22,male,white,no,pieChart,56,40,4.011227255423254,4347
1550021246742,22,male,white,no,roseChart,64,40,4.592457037268081,3735
1550021246742,22,male,white,no,pieChart,91,89,1.0874628412503393,4510
1550021246742,22,male,white,no,roseChart,92,92,0,7266
1550021246742,22,male,white,no,roseChart,61,60,0.16992500144231237,7670
1550021246742,22,male,white,no,roseChart,68,40,4.813781191217037,16287
1550021246742,22,male,white,no,barChart,83,85,1.0874628412503393,4229
1550021246742,22,male,white,no,barChart,53,55,1.0874628412503393,3911
1550021246742,22,male,white,no,roseChart,55,30,4.651051691178929,10699
1550021246742,22,male,white,no,pieChart,8,10,1.0874628412503393,4984
1550021246742,22,male,white,no,roseChart,73,80,2.8328900141647417,9057
1550021246742,22,male,white,no,barChart,50,99,5.618385502258606,3252
1550021246742,22,male,white,no,pieChart,95,99,2.0443941193584534,2693
1550021246742,22,male,white,no,barChart,52,60,3.0223678130284544,4179
1550021246742,22,male,white,no,barChart,1,3,1.0874628412503393,5098
1550021246742,22,male,white,no,pieChart,24,25,0.16992500144231237,6181
1550021246742,22,male,white,no,barChart,59,50,3.189824558880017,3835
1550021246742,22,male,white,no,roseChart,72,40,5.005624549193878,7984
1550021246742,22,male,white,no,pieChart,86,80,2.6147098441152083,11636
1550021246742,22,male,white,no,roseChart,18,10,3.0223678130284544,4280
1550021246742,22,male,white,no,roseChart,15,90,6.231221180711185,7210
1550021246742,22,male,white,no,roseChart,79,60,4.257387842692652,21810
1550021246742,22,male,white,no,barChart,44,50,2.6147098441152083,4939
1550021246742,22,male,white,no,roseChart,72,60,3.599912842187128,9329
1550021246742,22,male,white,no,pieChart,21,15,2.6147098441152083,4621
1550021246742,22,male,white,no,barChart,95,97,1.0874628412503393,3598
1550021246742,22,male,white,no,pieChart,2,20,4.1799090900149345,5243
1550021246742,22,male,white,no,roseChart,51,20,4.960001932068081,5296
1550021246742,22,male,white,no,roseChart,6,10,2.0443941193584534,4533
1550021246742,22,male,white,no,roseChart,35,10,4.651051691178929,10423
1550021246742,22,male,white,no,pieChart,52,30,4.467605550082998,3836
1550021246742,22,male,white,no,barChart,63,55,3.0223678130284544,3273
1550021246742,22,male,white,no,pieChart,85,90,2.357552004618084,6134
1550021246742,22,male,white,no,barChart,0,1,0.16992500144231237,7436
1550021246742,22,male,white,no,barChart,56,60,2.0443941193584534,18092
1550021246742,22,male,white,no,roseChart,16,10,2.6147098441152083,4203
1550021246742,22,male,white,no,roseChart,89,90,0.16992500144231237,6693
1550021246742,22,male,white,no,barChart,21,20,0.16992500144231237,5970
1550021246742,22,male,white,no,roseChart,11,10,0.16992500144231237,8732
1550021246742,22,male,white,no,roseChart,98,90,3.0223678130284544,4000
1550021246742,22,male,white,no,barChart,56,60,2.0443941193584534,4101
1550021246742,22,male,white,no,barChart,19,15,2.0443941193584534,5464
1550021246742,22,male,white,no,barChart,17,10,2.8328900141647417,4596
1550021246742,22,male,white,no,pieChart,60,89,4.864186144654281,6475
1550021246742,22,male,white,no,pieChart,60,50,3.3398500028846247,5448
1550021246742,22,male,white,no,pieChart,52,30,4.467605550082998,5944
1550021246742,22,male,white,no,barChart,70,80,3.3398500028846247,4977
1550021246742,22,male,white,no,pieChart,20,20,0,7506
1550021246742,22,male,white,no,pieChart,17,15,1.0874628412503393,3792
1550021246742,22,male,white,no,pieChart,80,89,3.189824558880017,5347
1550021246742,22,male,white,no,barChart,33,30,1.6438561897747248,4269
