id,age,gender,race,sexuality,chartType,actualValue,perceivedValue,error,time
1550185658028,22,male,white,yes,pieChart,72,80,3.0223678130284544,33598
1550185658028,22,male,white,yes,pieChart,12,10,1.0874628412503393,13970
1550185658028,22,male,white,yes,barChart,0,0,0,7531
1550185658028,22,male,white,yes,pieChart,50,50,0,6374
1550185658028,22,male,white,yes,barChart,16,15,0.16992500144231237,10052
1550185658028,22,male,white,yes,pieChart,77,90,3.7142455176661224,8363
1550185658028,22,male,white,yes,barChart,99,99,0,13544
1550185658028,22,male,white,yes,barChart,14,17,1.6438561897747248,42311
1550185658028,22,male,white,yes,pieChart,49,50,0.16992500144231237,13204
1550185658028,22,male,white,yes,pieChart,7,15,3.0223678130284544,8913
1550185658028,22,male,white,yes,barChart,94,95,0.16992500144231237,61321
1550185658028,22,male,white,yes,pieChart,20,18,1.0874628412503393,32217
1550185658028,22,male,white,yes,roseChart,22,20,1.0874628412503393,51576
1550185658028,22,male,white,yes,roseChart,2,0,1.0874628412503393,11428
1550185658028,22,male,white,yes,barChart,72,90,4.1799090900149345,47492
1550185658028,22,male,white,yes,roseChart,9,10,0.16992500144231237,8316
1550185658028,22,male,white,yes,roseChart,36,33,1.6438561897747248,4808
1550185658028,22,male,white,yes,roseChart,15,20,2.357552004618084,10629
1550185658028,22,male,white,yes,roseChart,77,80,1.6438561897747248,5363
1550185658028,22,male,white,yes,pieChart,12,15,1.6438561897747248,8811
1550185658028,22,male,white,yes,pieChart,12,20,3.0223678130284544,3819
1550185658028,22,male,white,yes,barChart,72,70,1.0874628412503393,25118
1550185658028,22,male,white,yes,roseChart,54,50,2.0443941193584534,3298
1550185658028,22,male,white,yes,barChart,79,80,0.16992500144231237,3845
1550185658028,22,male,white,yes,barChart,80,80,0,3449
1550185658028,22,male,white,yes,pieChart,51,60,3.189824558880017,7810
1550185658028,22,male,white,yes,barChart,18,20,1.0874628412503393,20483
1550185658028,22,male,white,yes,pieChart,10,17,2.8328900141647417,54518
1550185658028,22,male,white,yes,barChart,65,70,2.357552004618084,42317
1550185658028,22,male,white,yes,barChart,61,60,0.16992500144231237,3626
1550185658028,22,male,white,yes,barChart,42,50,3.0223678130284544,4414
1550185658028,22,male,white,yes,barChart,21,40,4.257387842692652,9675
1550185658028,22,male,white,yes,barChart,75,80,2.357552004618084,4224
1550185658028,22,male,white,yes,pieChart,47,60,3.7142455176661224,29302
1550185658028,22,male,white,yes,barChart,10,13,1.6438561897747248,9309
1550185658028,22,male,white,yes,roseChart,27,33,2.6147098441152083,10850
1550185658028,22,male,white,yes,pieChart,24,34,3.3398500028846247,7976
1550185658028,22,male,white,yes,pieChart,30,40,3.3398500028846247,4776
1550185658028,22,male,white,yes,roseChart,33,25,3.0223678130284544,23493
1550185658028,22,male,white,yes,barChart,86,90,2.0443941193584534,3362
1550185658028,22,male,white,yes,barChart,7,10,1.6438561897747248,67769
1550185658028,22,male,white,yes,pieChart,0,0,0,13059
1550185658028,22,male,white,yes,roseChart,96,100,2.0443941193584534,11812
1550185658028,22,male,white,yes,pieChart,10,10,0,9122
1550185658028,22,male,white,yes,pieChart,22,20,1.0874628412503393,3005
1550185658028,22,male,white,yes,barChart,58,70,3.599912842187128,5259
1550185658028,22,male,white,yes,barChart,26,35,3.189824558880017,18717
1550185658028,22,male,white,yes,pieChart,44,40,2.0443941193584534,30080
1550185658028,22,male,white,yes,pieChart,29,33,2.0443941193584534,3312
1550185658028,22,male,white,yes,pieChart,34,33,0.16992500144231237,4705
1550185658028,22,male,white,yes,roseChart,28,25,1.6438561897747248,4477
1550185658028,22,male,white,yes,roseChart,90,85,2.357552004618084,7977
1550185658028,22,male,white,yes,roseChart,63,60,1.6438561897747248,15828
1550185658028,22,male,white,yes,roseChart,35,40,2.357552004618084,6463
1550185658028,22,male,white,yes,roseChart,60,50,3.3398500028846247,12065
1550185658028,22,male,white,yes,roseChart,74,60,3.820178962415188,3096
1550185658028,22,male,white,yes,roseChart,28,33,2.357552004618084,2651
1550185658028,22,male,white,yes,roseChart,21,25,2.0443941193584534,5798
1550185658028,22,male,white,yes,roseChart,100,95,2.357552004618084,3550
1550185658028,22,male,white,yes,roseChart,82,90,3.0223678130284544,3260
