id,age,gender,race,sexuality,chartType,actualValue,perceivedValue,error,time
1549935955945,21,female,asian,no,pieChart,85,82,1.6438561897747248,49080
1549935955945,21,female,asian,no,roseChart,17,10,2.8328900141647417,108469
1549935955945,21,female,asian,no,pieChart,2,5,1.6438561897747248,8615
1549935955945,21,female,asian,no,pieChart,37,45,3.0223678130284544,13571
1549935955945,21,female,asian,no,barChart,61,70,3.189824558880017,10277
1549935955945,21,female,asian,no,roseChart,91,90,0.16992500144231237,11753
1549935955945,21,female,asian,no,barChart,60,65,2.357552004618084,12506
1549935955945,21,female,asian,no,pieChart,64,75,3.4757334309663976,10013
1549935955945,21,female,asian,no,pieChart,40,40,0,6594
1549935955945,21,female,asian,no,pieChart,25,30,2.357552004618084,15940
1549935955945,21,female,asian,no,pieChart,97,100,1.6438561897747248,4219
1549935955945,21,female,asian,no,pieChart,69,75,2.6147098441152083,7010
1549935955945,21,female,asian,no,roseChart,86,75,3.4757334309663976,10322
1549935955945,21,female,asian,no,barChart,69,75,2.6147098441152083,9273
1549935955945,21,female,asian,no,barChart,11,16,2.357552004618084,8196
1549935955945,21,female,asian,no,pieChart,55,45,3.3398500028846247,8485
1549935955945,21,female,asian,no,roseChart,62,45,4.098032082960526,19835
1549935955945,21,female,asian,no,pieChart,52,50,1.0874628412503393,3424
1549935955945,21,female,asian,no,roseChart,20,11,3.189824558880017,8019
1549935955945,21,female,asian,no,roseChart,20,10,3.3398500028846247,5511
1549935955945,21,female,asian,no,barChart,34,33,0.16992500144231237,5374
1549935955945,21,female,asian,no,barChart,39,30,3.189824558880017,7449
1549935955945,21,female,asian,no,pieChart,22,20,1.0874628412503393,5147
1549935955945,21,female,asian,no,roseChart,33,16,4.098032082960526,6622
1549935955945,21,female,asian,no,roseChart,55,45,3.3398500028846247,6093
1549935955945,21,female,asian,no,barChart,29,30,0.16992500144231237,4873
1549935955945,21,female,asian,no,roseChart,70,50,4.330916878114617,4355
1549935955945,21,female,asian,no,pieChart,0,5,2.357552004618084,17237
1549935955945,21,female,asian,no,barChart,20,16,2.0443941193584534,9049
1549935955945,21,female,asian,no,barChart,81,82,0.16992500144231237,9615
1549935955945,21,female,asian,no,pieChart,6,9,1.6438561897747248,6939
1549935955945,21,female,asian,no,barChart,57,55,1.0874628412503393,5954
1549935955945,21,female,asian,no,pieChart,79,80,0.16992500144231237,5116
1549935955945,21,female,asian,no,barChart,28,40,3.599912842187128,7180
1549935955945,21,female,asian,no,barChart,97,98,0.16992500144231237,6264
1549935955945,21,female,asian,no,barChart,54,55,0.16992500144231237,7047
1549935955945,21,female,asian,no,barChart,26,25,0.16992500144231237,8173
1549935955945,21,female,asian,no,roseChart,21,10,3.4757334309663976,10188
1549935955945,21,female,asian,no,barChart,22,25,1.6438561897747248,4683
1549935955945,21,female,asian,no,roseChart,56,40,4.011227255423254,5292
1549935955945,21,female,asian,no,roseChart,4,0,2.0443941193584534,13372
1549935955945,21,female,asian,no,pieChart,96,100,2.0443941193584534,3759
1549935955945,21,female,asian,no,barChart,60,65,2.357552004618084,4110
1549935955945,21,female,asian,no,pieChart,2,20,4.1799090900149345,3719
1549935955945,21,female,asian,no,roseChart,8,4,2.0443941193584534,7970
1549935955945,21,female,asian,no,pieChart,77,95,4.1799090900149345,3729
1549935955945,21,female,asian,no,barChart,24,25,0.16992500144231237,3799
1549935955945,21,female,asian,no,pieChart,70,80,3.3398500028846247,3440
1549935955945,21,female,asian,no,barChart,58,65,2.8328900141647417,3973
1549935955945,21,female,asian,no,roseChart,81,85,2.0443941193584534,5475
1549935955945,21,female,asian,no,roseChart,57,40,4.098032082960526,4071
1549935955945,21,female,asian,no,roseChart,1,0,0.16992500144231237,4461
1549935955945,21,female,asian,no,barChart,71,75,2.0443941193584534,7101
1549935955945,21,female,asian,no,roseChart,9,5,2.0443941193584534,4526
1549935955945,21,female,asian,no,barChart,56,55,0.16992500144231237,3651
1549935955945,21,female,asian,no,pieChart,99,100,0.16992500144231237,3135
1549935955945,21,female,asian,no,pieChart,35,38,1.6438561897747248,6197
1549935955945,21,female,asian,no,roseChart,89,85,2.0443941193584534,8401
1549935955945,21,female,asian,no,roseChart,55,45,3.3398500028846247,5698
1549935955945,21,female,asian,no,roseChart,23,11,3.599912842187128,6883
