id,age,gender,race,sexuality,chartType,actualValue,perceivedValue,error,time
1550347306992,31,other,indian,decline,roseChart,43,2,5.361943773735241,2928
1550347306992,31,other,indian,decline,pieChart,66,2,6.002815015607054,149
1550347306992,31,other,indian,decline,roseChart,29,2,4.7615512324444795,182
1550347306992,31,other,indian,decline,pieChart,100,2,6.61654884377899,99
1550347306992,31,other,indian,decline,pieChart,87,2,6.411510988012071,210
1550347306992,31,other,indian,decline,barChart,0,2,1.0874628412503393,114
1550347306992,31,other,indian,decline,barChart,57,2,5.7846348455575205,98
1550347306992,31,other,indian,decline,barChart,7,2,2.357552004618084,130
1550347306992,31,other,indian,decline,barChart,19,2,4.098032082960526,122
1550347306992,31,other,indian,decline,barChart,93,2,6.509775004326937,146
1550347306992,31,other,indian,decline,barChart,11,2,3.189824558880017,116
1550347306992,31,other,indian,decline,pieChart,70,2,6.090112419664289,139
1550347306992,31,other,indian,decline,pieChart,37,2,5.134426320220926,387
1550347306992,31,other,indian,decline,roseChart,73,2,6.152284842306582,127
1550347306992,31,other,indian,decline,barChart,26,2,4.592457037268081,151
1550347306992,31,other,indian,decline,roseChart,32,2,4.912889336229962,141
1550347306992,31,other,indian,decline,roseChart,35,2,5.049848549450561,143
1550347306992,31,other,indian,decline,roseChart,64,2,5.957102041562286,140
1550347306992,31,other,indian,decline,roseChart,89,2,6.445014845868423,147
1550347306992,31,other,indian,decline,pieChart,63,2,5.933690654952234,169
1550347306992,31,other,indian,decline,barChart,14,2,3.599912842187128,427
1550347306992,31,other,indian,decline,barChart,30,2,4.813781191217037,148
1550347306992,31,other,indian,decline,pieChart,63,2,5.933690654952234,162
1550347306992,31,other,indian,decline,barChart,69,2,6.0687782779854125,151
1550347306992,31,other,indian,decline,pieChart,69,2,6.0687782779854125,173
1550347306992,31,other,indian,decline,pieChart,49,2,5.5584207132686645,141
1550347306992,31,other,indian,decline,barChart,76,2,6.211888294546004,157
1550347306992,31,other,indian,decline,barChart,46,2,5.463524373271181,154
1550347306992,31,other,indian,decline,barChart,83,2,6.342074667999139,175
1550347306992,31,other,indian,decline,barChart,47,2,5.495855026887171,169
1550347306992,31,other,indian,decline,barChart,88,2,6.428360172704291,6879
1550347306992,31,other,indian,decline,roseChart,30,2,4.813781191217037,214
1550347306992,31,other,indian,decline,barChart,93,2,6.509775004326937,177
1550347306992,31,other,indian,decline,roseChart,23,2,4.400879436282184,133
1550347306992,31,other,indian,decline,pieChart,78,2,6.250298417906333,152
1550347306992,31,other,indian,decline,pieChart,19,2,4.098032082960526,153
1550347306992,31,other,indian,decline,roseChart,77,2,6.231221180711185,152
1550347306992,31,other,indian,decline,pieChart,65,2,5.980139577639157,121
1550347306992,31,other,indian,decline,roseChart,89,2,6.445014845868423,147
1550347306992,31,other,indian,decline,pieChart,45,2,5.430452551665532,387
1550347306992,31,other,indian,decline,pieChart,79,2,6.269126679149418,136
1550347306992,31,other,indian,decline,pieChart,57,2,5.7846348455575205,143
1550347306992,31,other,indian,decline,roseChart,95,2,6.541096615349524,156
1550347306992,31,other,indian,decline,barChart,16,2,3.820178962415188,146
1550347306992,31,other,indian,decline,barChart,45,2,5.430452551665532,108
1550347306992,31,other,indian,decline,roseChart,30,2,4.813781191217037,160
1550347306992,31,other,indian,decline,pieChart,16,2,3.820178962415188,75
1550347306992,31,other,indian,decline,pieChart,72,2,6.1318569606087925,485
1550347306992,31,other,indian,decline,barChart,2,2,0,169
1550347306992,31,other,indian,decline,pieChart,60,2,5.861086905995394,145
1550347306992,31,other,indian,decline,pieChart,87,2,6.411510988012071,154
1550347306992,31,other,indian,decline,pieChart,75,22,5.731319031025064,304
1550347306992,31,other,indian,decline,roseChart,6,2,2.0443941193584534,170
1550347306992,31,other,indian,decline,roseChart,43,2,5.361943773735241,114
1550347306992,31,other,indian,decline,roseChart,76,2,6.211888294546004,180
1550347306992,31,other,indian,decline,roseChart,11,2,3.189824558880017,468
1550347306992,31,other,indian,decline,barChart,99,2,6.60177078840771,145
1550347306992,31,other,indian,decline,roseChart,32,2,4.912889336229962,178
1550347306992,31,other,indian,decline,roseChart,34,2,5.005624549193878,174
1550347306992,31,other,indian,decline,roseChart,70,2,6.090112419664289,128
