id,age,gender,race,sexuality,chartType,actualValue,perceivedValue,error,time
1549937542855,22,female,asian,no,pieChart,52,50,1.0874628412503393,5581
1549937542855,22,female,asian,no,roseChart,84,80,2.0443941193584534,12013
1549937542855,22,female,asian,no,barChart,0,0,0,9442
1549937542855,22,female,asian,no,roseChart,25,6,4.257387842692652,28831
1549937542855,22,female,asian,no,barChart,24,33,3.189824558880017,3173
1549937542855,22,female,asian,no,roseChart,37,20,4.098032082960526,11018
1549937542855,22,female,asian,no,roseChart,95,100,2.357552004618084,3754
1549937542855,22,female,asian,no,roseChart,34,25,3.189824558880017,8620
1549937542855,22,female,asian,no,pieChart,15,20,2.357552004618084,5236
1549937542855,22,female,asian,no,pieChart,26,20,2.6147098441152083,6499
1549937542855,22,female,asian,no,pieChart,86,95,3.189824558880017,5899
1549937542855,22,female,asian,no,barChart,17,20,1.6438561897747248,3651
1549937542855,22,female,asian,no,roseChart,80,95,3.9188632372745946,8150
1549937542855,22,female,asian,no,pieChart,69,85,4.011227255423254,6706
1549937542855,22,female,asian,no,pieChart,68,85,4.098032082960526,3093
1549937542855,22,female,asian,no,pieChart,47,50,1.6438561897747248,2927
1549937542855,22,female,asian,no,pieChart,80,90,3.3398500028846247,3524
1549937542855,22,female,asian,no,barChart,70,6,6.002815015607054,19222
1549937542855,22,female,asian,no,barChart,56,60,2.0443941193584534,4312
1549937542855,22,female,asian,no,pieChart,31,20,3.4757334309663976,4613
1549937542855,22,female,asian,no,roseChart,11,0,3.4757334309663976,3809
1549937542855,22,female,asian,no,barChart,95,40,5.7846348455575205,4681
1549937542855,22,female,asian,no,roseChart,35,20,3.9188632372745946,16744
1549937542855,22,female,asian,no,roseChart,59,30,4.864186144654281,5662
1549937542855,22,female,asian,no,pieChart,60,60,0,9740
1549937542855,22,female,asian,no,roseChart,4,0,2.0443941193584534,4111
1549937542855,22,female,asian,no,barChart,53,50,1.6438561897747248,5755
1549937542855,22,female,asian,no,roseChart,62,40,4.467605550082998,3711
1549937542855,22,female,asian,no,roseChart,98,100,1.0874628412503393,3814
1549937542855,22,female,asian,no,pieChart,74,60,3.820178962415188,3584
1549937542855,22,female,asian,no,pieChart,73,30,5.430452551665532,3998
1549937542855,22,female,asian,no,pieChart,88,100,3.599912842187128,4550
1549937542855,22,female,asian,no,pieChart,80,80,0,46099
1549937542855,22,female,asian,no,pieChart,92,100,3.0223678130284544,61335
