,county,gal_per_capita,groundwater_per_day,state,value,id
,,,,,,USA
1001,Autauga County,48.96,2710000,AL,55347,USA.AL.Autauga County
1003,Baldwin County,62.74,12780000,AL,203709,USA.AL.Baldwin County
1005,Barbour County,53.61,1420000,AL,26489,USA.AL.Barbour County
1007,Bibb County,80.15,1810000,AL,22583,USA.AL.Bibb County
1009,Blount County,48.38,2790000,AL,57673,USA.AL.Blount County
1011,Bullock County,83.21,890000,AL,10696,USA.AL.Bullock County
1013,Butler County,66.98,1350000,AL,20154,USA.AL.Butler County
1015,Calhoun County,65.04,7520000,AL,115620,USA.AL.Calhoun County
1017,Chambers County,50.99,1740000,AL,34123,USA.AL.Chambers County
1019,Cherokee County,41.76,1080000,AL,25859,USA.AL.Cherokee County
1021,Chilton County,50.52,2220000,AL,43943,USA.AL.Chilton County
1023,Choctaw County,18.98,250000,AL,13170,USA.AL.Choctaw County
1025,Clarke County,48.23,1190000,AL,24675,USA.AL.Clarke County
1027,Clay County,20.66,280000,AL,13555,USA.AL.Clay County
1029,Cleburne County,40.62,610000,AL,15017,USA.AL.Cleburne County
1031,Coffee County,68.93,3530000,AL,51211,USA.AL.Coffee County
1033,Colbert County,78.56,4270000,AL,54354,USA.AL.Colbert County
1035,Conecuh County,32.35,410000,AL,12672,USA.AL.Conecuh County
1037,Coosa County,36.37,390000,AL,10724,USA.AL.Coosa County
1039,Covington County,47.84,1810000,AL,37835,USA.AL.Covington County
1041,Crenshaw County,59.44,830000,AL,13963,USA.AL.Crenshaw County
1043,Cullman County,69.87,5730000,AL,82005,USA.AL.Cullman County
1045,Dale County,61.54,3050000,AL,49565,USA.AL.Dale County
1047,Dallas County,54.22,2230000,AL,41131,USA.AL.Dallas County
1049,DeKalb County,47.66,3390000,AL,71130,USA.AL.DeKalb County
1051,Elmore County,61.62,5020000,AL,81468,USA.AL.Elmore County
1053,Escambia County,58.75,2220000,AL,37789,USA.AL.Escambia County
1055,Etowah County,64.04,6600000,AL,103057,USA.AL.Etowah County
1057,Fayette County,40.58,680000,AL,16759,USA.AL.Fayette County
1059,Franklin County,44.17,1400000,AL,31695,USA.AL.Franklin County
1061,Geneva County,35.1,940000,AL,26776,USA.AL.Geneva County
1063,Greene County,41.28,350000,AL,8479,USA.AL.Greene County
1065,Hale County,91.58,1380000,AL,15068,USA.AL.Hale County
1067,Henry County,47.04,810000,AL,17221,USA.AL.Henry County
1069,Houston County,47.81,4980000,AL,104172,USA.AL.Houston County
1071,Jackson County,49.79,2610000,AL,52419,USA.AL.Jackson County
1073,Jefferson County,73.97,48850000,AL,660367,USA.AL.Jefferson County
1075,Lamar County,35.29,490000,AL,13886,USA.AL.Lamar County
1077,Lauderdale County,66.63,6170000,AL,92596,USA.AL.Lauderdale County
1079,Lawrence County,53.75,1780000,AL,33115,USA.AL.Lawrence County
1081,Lee County,62.49,9810000,AL,156993,USA.AL.Lee County
1083,Limestone County,59.13,5420000,AL,91663,USA.AL.Limestone County
1085,Lowndes County,72.67,760000,AL,10458,USA.AL.Lowndes County
1087,Macon County,60.72,1160000,AL,19105,USA.AL.Macon County
1089,Madison County,87.65,30950000,AL,353089,USA.AL.Madison County
1091,Marengo County,35.95,720000,AL,20028,USA.AL.Marengo County
1093,Marion County,36.46,1100000,AL,30168,USA.AL.Marion County
1095,Marshall County,95.54,9050000,AL,94725,USA.AL.Marshall County
1097,Mobile County,85.63,35570000,AL,415395,USA.AL.Mobile County
1099,Monroe County,47.52,1030000,AL,21673,USA.AL.Monroe County
1101,Montgomery County,63.13,14300000,AL,226519,USA.AL.Montgomery County
1103,Morgan County,73.68,8810000,AL,119565,USA.AL.Morgan County
1105,Perry County,44.55,430000,AL,9652,USA.AL.Perry County
1107,Pickens County,63.75,1330000,AL,20864,USA.AL.Pickens County
1109,Pike County,70.51,2330000,AL,33046,USA.AL.Pike County
1111,Randolph County,28.2,640000,AL,22695,USA.AL.Randolph County
1113,Russell County,82.13,4900000,AL,59660,USA.AL.Russell County
1115,St Clair County,58.69,5110000,AL,87074,USA.AL.St Clair County
1117,Shelby County,56.73,11840000,AL,208713,USA.AL.Shelby County
1119,Sumter County,54.19,710000,AL,13103,USA.AL.Sumter County
1121,Talladega County,68.26,5520000,AL,80862,USA.AL.Talladega County
1123,Tallapoosa County,56.8,2320000,AL,40844,USA.AL.Tallapoosa County
1125,Tuscaloosa County,60.25,12290000,AL,203976,USA.AL.Tuscaloosa County
1127,Walker County,53.91,3520000,AL,65294,USA.AL.Walker County
1129,Washington County,35.71,600000,AL,16804,USA.AL.Washington County
1131,Wilcox County,30.74,340000,AL,11059,USA.AL.Wilcox County
1133,Winston County,55.7,1330000,AL,23877,USA.AL.Winston County
2013,Aleutians East Borough,47.89,160000,AK,3341,USA.AK.Aleutians East Borough
2016,Aleutians West Census Area,73.66,420000,AK,5702,USA.AK.Aleutians West Census Area
2020,Municipality of Anchorage,106.86,31920000,AK,298695,USA.AK.Municipality of Anchorage
2050,Bethel Census Area,15.6,280000,AK,17945,USA.AK.Bethel Census Area
2060,Bristol Bay Borough,78.48,70000,AK,892,USA.AK.Bristol Bay Borough
2068,Denali Borough,20.84,40000,AK,1919,USA.AK.Denali Borough
2070,Dillingham Census Area,48.03,240000,AK,4997,USA.AK.Dillingham Census Area
2090,Fairbanks North Star Borough,120.65,12020000,AK,99631,USA.AK.Fairbanks North Star Borough
2100,Haines Borough,39.46,100000,AK,2534,USA.AK.Haines Borough
2105,Hoonah-Angoon Census Area,70.32,150000,AK,2133,USA.AK.Hoonah-Angoon Census Area
2110,City & Borough of Juneau,134.02,4390000,AK,32756,USA.AK.City & Borough of Juneau
2122,Kenai Peninsula Borough,59.42,3450000,AK,58059,USA.AK.Kenai Peninsula Borough
2130,Ketchikan Gateway Borough,55.44,760000,AK,13709,USA.AK.Ketchikan Gateway Borough
2150,Kodiak Island Borough,72,1000000,AK,13889,USA.AK.Kodiak Island Borough
2158,Kusilvak Census Area,49.27,400000,AK,8119,USA.AK.Kusilvak Census Area
2164,Lake and Peninsula Borough,63.98,100000,AK,1563,USA.AK.Lake and Peninsula Borough
2170,Matanuska-Susitna Borough,21.96,2220000,AK,101095,USA.AK.Matanuska-Susitna Borough
2180,Nome Census Area,61.95,610000,AK,9846,USA.AK.Nome Census Area
2185,North Slope Borough,29.94,290000,AK,9687,USA.AK.North Slope Borough
2188,Northwest Arctic Borough,67.08,520000,AK,7752,USA.AK.Northwest Arctic Borough
2195,Petersburg Borough,56.66,180000,AK,3177,USA.AK.Petersburg Borough
2198,Prince of Wales-Hyder Census Area,53.62,340000,AK,6341,USA.AK.Prince of Wales-Hyder Census Area
2220,City & Borough of Sitka,72.21,640000,AK,8863,USA.AK.City & Borough of Sitka
2230,Skagway Municipality,47.3,50000,AK,1057,USA.AK.Skagway Municipality
2240,Southeast Fairbanks Census Area,32.17,220000,AK,6838,USA.AK.Southeast Fairbanks Census Area
2261,Valdez-Cordova Census Area,66.23,620000,AK,9362,USA.AK.Valdez-Cordova Census Area
2275,City & Borough of Wrangell,71.37,170000,AK,2381,USA.AK.City & Borough of Wrangell
2282,City & Borough of Yakutat,81.57,50000,AK,613,USA.AK.City & Borough of Yakutat
2290,Yukon-Koyukuk Census Area,39.76,220000,AK,5532,USA.AK.Yukon-Koyukuk Census Area
4001,Apache County,71.07,5080000,AZ,71473,USA.AZ.Apache County
4003,Cochise County,103.46,13080000,AZ,126427,USA.AZ.Cochise County
4005,Coconino County,115.67,16090000,AZ,139097,USA.AZ.Coconino County
4007,Gila County,77.32,4110000,AZ,53159,USA.AZ.Gila County
4009,Graham County,80.71,3040000,AZ,37666,USA.AZ.Graham County
4011,Greenlee County,160.56,1530000,AZ,9529,USA.AZ.Greenlee County
4012,La Paz County,129.02,2600000,AZ,20152,USA.AZ.La Paz County
4013,Maricopa County,152.78,636760000,AZ,4167947,USA.AZ.Maricopa County
4015,Mohave County,182.33,37330000,AZ,204737,USA.AZ.Mohave County
4017,Navajo County,114.8,12430000,AZ,108277,USA.AZ.Navajo County
4019,Pima County,131.99,133310000,AZ,1010025,USA.AZ.Pima County
4021,Pinal County,112.01,45540000,AZ,406584,USA.AZ.Pinal County
4023,Santa Cruz County,91.26,4240000,AZ,46461,USA.AZ.Santa Cruz County
4025,Yavapai County,82.79,18400000,AZ,222255,USA.AZ.Yavapai County
4027,Yuma County,145.69,29760000,AZ,204275,USA.AZ.Yuma County
5001,Arkansas County,88.97,1640000,AR,18433,USA.AR.Arkansas County
5003,Ashley County,88.3,1840000,AR,20838,USA.AR.Ashley County
5005,Baxter County,64.31,2640000,AR,41053,USA.AR.Baxter County
5007,Benton County,88.48,22090000,AR,249672,USA.AR.Benton County
5009,Boone County,77.91,2900000,AR,37222,USA.AR.Boone County
5011,Bradley County,89.24,990000,AR,11094,USA.AR.Bradley County
5013,Calhoun County,89.88,470000,AR,5229,USA.AR.Calhoun County
5015,Carroll County,77.97,2160000,AR,27704,USA.AR.Carroll County
5017,Chicot County,88.87,980000,AR,11027,USA.AR.Chicot County
5019,Clark County,85.27,1930000,AR,22633,USA.AR.Clark County
5021,Clay County,88.69,1340000,AR,15109,USA.AR.Clay County
5023,Cleburne County,89.13,2270000,AR,25467,USA.AR.Cleburne County
5025,Cleveland County,89.04,740000,AR,8311,USA.AR.Cleveland County
5027,Columbia County,89.16,2150000,AR,24114,USA.AR.Columbia County
5029,Conway County,88.97,1870000,AR,21019,USA.AR.Conway County
5031,Craighead County,85.77,8950000,AR,104354,USA.AR.Craighead County
5033,Crawford County,80.39,4960000,AR,61703,USA.AR.Crawford County
5035,Crittenden County,89.05,4360000,AR,48963,USA.AR.Crittenden County
5037,Cross County,89.1,1540000,AR,17284,USA.AR.Cross County
5039,Dallas County,89.43,680000,AR,7604,USA.AR.Dallas County
5041,Desha County,88.59,1060000,AR,11965,USA.AR.Desha County
5043,Drew County,81.48,1530000,AR,18778,USA.AR.Drew County
5045,Faulkner County,87.95,10690000,AR,121552,USA.AR.Faulkner County
5047,Franklin County,83.04,1470000,AR,17702,USA.AR.Franklin County
5049,Fulton County,65.55,800000,AR,12204,USA.AR.Fulton County
5051,Garland County,88.29,8580000,AR,97177,USA.AR.Garland County
5053,Grant County,82.31,1490000,AR,18102,USA.AR.Grant County
5055,Greene County,76.25,3370000,AR,44196,USA.AR.Greene County
5057,Hempstead County,71.09,1570000,AR,22084,USA.AR.Hempstead County
5059,Hot Spring County,88.85,2970000,AR,33426,USA.AR.Hot Spring County
5061,Howard County,88.72,1180000,AR,13300,USA.AR.Howard County
5063,Independence County,87.71,3250000,AR,37052,USA.AR.Independence County
5065,Izard County,86.28,1160000,AR,13445,USA.AR.Izard County
5067,Jackson County,84.78,1470000,AR,17338,USA.AR.Jackson County
5069,Jefferson County,86.08,6160000,AR,71565,USA.AR.Jefferson County
5071,Johnson County,89.13,2330000,AR,26141,USA.AR.Johnson County
5073,Lafayette County,81.48,570000,AR,6996,USA.AR.Lafayette County
5075,Lawrence County,88.8,1490000,AR,16779,USA.AR.Lawrence County
5077,Lee County,89.12,860000,AR,9650,USA.AR.Lee County
5079,Lincoln County,89,1230000,AR,13820,USA.AR.Lincoln County
5081,Little River County,88.2,1100000,AR,12472,USA.AR.Little River County
5083,Logan County,87.04,1890000,AR,21714,USA.AR.Logan County
5085,Lonoke County,89.05,6380000,AR,71645,USA.AR.Lonoke County
5087,Madison County,64.06,1010000,AR,15767,USA.AR.Madison County
5089,Marion County,64.87,1050000,AR,16184,USA.AR.Marion County
5091,Miller County,74.93,3290000,AR,43908,USA.AR.Miller County
5093,Mississippi County,88.94,3890000,AR,43738,USA.AR.Mississippi County
5095,Monroe County,85.15,630000,AR,7399,USA.AR.Monroe County
5097,Montgomery County,71.35,640000,AR,8970,USA.AR.Montgomery County
5099,Nevada County,74.78,640000,AR,8558,USA.AR.Nevada County
5101,Newton County,83.41,660000,AR,7912,USA.AR.Newton County
5103,Ouachita County,89.09,2170000,AR,24358,USA.AR.Ouachita County
5105,Perry County,69.68,710000,AR,10189,USA.AR.Perry County
5107,Phillips County,89.17,1740000,AR,19512,USA.AR.Phillips County
5109,Pike County,81.3,880000,AR,10824,USA.AR.Pike County
5111,Poinsett County,82.36,1980000,AR,24040,USA.AR.Poinsett County
5113,Polk County,78.16,1580000,AR,20215,USA.AR.Polk County
5115,Pope County,77.14,4890000,AR,63390,USA.AR.Pope County
5117,Prairie County,84.43,700000,AR,8291,USA.AR.Prairie County
5119,Pulaski County,87.58,34390000,AR,392664,USA.AR.Pulaski County
5121,Randolph County,66.4,1160000,AR,17469,USA.AR.Randolph County
5123,St Francis County,88.01,2340000,AR,26589,USA.AR.St Francis County
5125,Saline County,78.07,9170000,AR,117460,USA.AR.Saline County
5127,Scott County,57.07,600000,AR,10513,USA.AR.Scott County
5129,Searcy County,71.17,560000,AR,7869,USA.AR.Searcy County
5131,Sebastian County,86.32,11030000,AR,127780,USA.AR.Sebastian County
5133,Sevier County,69.98,1210000,AR,17290,USA.AR.Sevier County
5135,Sharp County,68,1150000,AR,16912,USA.AR.Sharp County
5137,Stone County,89.11,1110000,AR,12456,USA.AR.Stone County
5139,Union County,88.93,3570000,AR,40144,USA.AR.Union County
5141,Van Buren County,87.65,1470000,AR,16771,USA.AR.Van Buren County
5143,Washington County,89.01,20070000,AR,225477,USA.AR.Washington County
5145,White County,79.33,6280000,AR,79161,USA.AR.White County
5147,Woodruff County,89.01,600000,AR,6741,USA.AR.Woodruff County
5149,Yell County,83.82,1820000,AR,21713,USA.AR.Yell County
6001,Alameda County,60.05,98370000,CA,1638215,USA.CA.Alameda County
6003,Alpine County,54.05,60000,CA,1110,USA.CA.Alpine County
6005,Amador County,80.81,2990000,CA,37001,USA.CA.Amador County
6007,Butte County,82.92,18690000,CA,225410,USA.CA.Butte County
6009,Calaveras County,74.51,3340000,CA,44828,USA.CA.Calaveras County
6011,Colusa County,73.55,1580000,CA,21482,USA.CA.Colusa County
6013,Contra Costa County,64.26,72410000,CA,1126745,USA.CA.Contra Costa County
6015,Del Norte County,58.34,1590000,CA,27254,USA.CA.Del Norte County
6017,El Dorado County,83.92,15480000,CA,184452,USA.CA.El Dorado County
6019,Fresno County,104.55,101920000,CA,974861,USA.CA.Fresno County
6021,Glenn County,62.82,1760000,CA,28017,USA.CA.Glenn County
6023,Humboldt County,53.42,7250000,CA,135727,USA.CA.Humboldt County
6025,Imperial County,110.72,19950000,CA,180190,USA.CA.Imperial County
6027,Inyo County,85.43,1560000,CA,18260,USA.CA.Inyo County
6029,Kern County,120.24,106070000,CA,882176,USA.CA.Kern County
6031,Kings County,114.26,17250000,CA,150965,USA.CA.Kings County
6033,Lake County,32.67,2110000,CA,64591,USA.CA.Lake County
6035,Lassen County,84.22,2640000,CA,31345,USA.CA.Lassen County
6037,Los Angeles County,80.42,817880000,CA,10170292,USA.CA.Los Angeles County
6039,Madera County,75.29,11670000,CA,154998,USA.CA.Madera County
6041,Marin County,74.96,19580000,CA,261221,USA.CA.Marin County
6043,Mariposa County,25.1,440000,CA,17531,USA.CA.Mariposa County
6045,Mendocino County,52.94,4640000,CA,87649,USA.CA.Mendocino County
6047,Merced County,93.98,25230000,CA,268455,USA.CA.Merced County
6049,Modoc County,44.62,400000,CA,8965,USA.CA.Modoc County
6051,Mono County,86.99,1210000,CA,13909,USA.CA.Mono County
6053,Monterey County,59.9,25990000,CA,433898,USA.CA.Monterey County
6055,Napa County,61.77,8800000,CA,142456,USA.CA.Napa County
6057,Nevada County,70.29,6950000,CA,98877,USA.CA.Nevada County
6059,Orange County,89.19,282700000,CA,3169776,USA.CA.Orange County
6061,Placer County,92.89,34870000,CA,375390,USA.CA.Placer County
6063,Plumas County,74.96,1380000,CA,18409,USA.CA.Plumas County
6065,Riverside County,117.62,277710000,CA,2361026,USA.CA.Riverside County
6067,Sacramento County,104.1,156290000,CA,1501335,USA.CA.Sacramento County
6069,San Benito County,61.91,3640000,CA,58792,USA.CA.San Benito County
6071,San Bernardino County,102.23,217550000,CA,2128133,USA.CA.San Bernardino County
6073,San Diego County,79.08,260940000,CA,3299520,USA.CA.San Diego County
6075,San Francisco County,42.46,36720000,CA,864816,USA.CA.San Francisco County
6077,San Joaquin County,76.35,55440000,CA,726106,USA.CA.San Joaquin County
6079,San Luis Obispo County,69.79,19640000,CA,281401,USA.CA.San Luis Obispo County
6081,San Mateo County,59.6,45600000,CA,765135,USA.CA.San Mateo County
6083,Santa Barbara County,66.53,29590000,CA,444769,USA.CA.Santa Barbara County
6085,Santa Clara County,57.02,109360000,CA,1918043,USA.CA.Santa Clara County
6087,Santa Cruz County,43.23,11850000,CA,274145,USA.CA.Santa Cruz County
6089,Shasta County,121.26,21770000,CA,179533,USA.CA.Shasta County
6091,Sierra County,80.89,240000,CA,2967,USA.CA.Sierra County
6093,Siskiyou County,59.47,2590000,CA,43553,USA.CA.Siskiyou County
6095,Solano County,71.77,31300000,CA,436092,USA.CA.Solano County
6097,Sonoma County,53.29,26760000,CA,502145,USA.CA.Sonoma County
6099,Stanislaus County,84.72,45610000,CA,538388,USA.CA.Stanislaus County
6101,Sutter County,85.11,8210000,CA,96463,USA.CA.Sutter County
6103,Tehama County,57.97,3670000,CA,63308,USA.CA.Tehama County
6105,Trinity County,48.97,640000,CA,13069,USA.CA.Trinity County
6107,Tulare County,97.03,44620000,CA,459863,USA.CA.Tulare County
6109,Tuolumne County,67.4,3620000,CA,53708,USA.CA.Tuolumne County
6111,Ventura County,89.26,75920000,CA,850536,USA.CA.Ventura County
6113,Yolo County,71.4,15210000,CA,213016,USA.CA.Yolo County
6115,Yuba County,90.21,6720000,CA,74492,USA.CA.Yuba County
8001,Adams County,74.35,36530000,CO,491337,USA.CO.Adams County
8003,Alamosa County,75.78,1250000,CO,16496,USA.CO.Alamosa County
8005,Arapahoe County,224.02,141380000,CO,631096,USA.CO.Arapahoe County
8007,Archuleta County,197.54,2440000,CO,12352,USA.CO.Archuleta County
8009,Baca County,66.39,240000,CO,3615,USA.CO.Baca County
8011,Bent County,49.74,290000,CO,5830,USA.CO.Bent County
8013,Boulder County,102.51,32740000,CO,319372,USA.CO.Boulder County
8014,Broomfield County,87.14,5670000,CO,65065,USA.CO.Broomfield County
8015,Chaffee County,62.71,1170000,CO,18658,USA.CO.Chaffee County
8017,Cheyenne County,125.75,230000,CO,1829,USA.CO.Cheyenne County
8019,Clear Creek County,76.32,710000,CO,9302,USA.CO.Clear Creek County
8021,Conejos County,142.68,1160000,CO,8130,USA.CO.Conejos County
8023,Costilla County,83.71,300000,CO,3583,USA.CO.Costilla County
8025,Crowley County,52.14,290000,CO,5562,USA.CO.Crowley County
8027,Custer County,38.25,170000,CO,4445,USA.CO.Custer County
8029,Delta County,157.11,4710000,CO,29979,USA.CO.Delta County
8031,Denver County,160.8,109750000,CO,682545,USA.CO.Denver County
8033,Dolores County,75.83,150000,CO,1978,USA.CO.Dolores County
8035,Douglas County,72.46,23360000,CO,322387,USA.CO.Douglas County
8037,Eagle County,115.85,6210000,CO,53605,USA.CO.Eagle County
8039,Elbert County,29.92,740000,CO,24735,USA.CO.Elbert County
8041,El Paso County,108.28,73030000,CO,674471,USA.CO.El Paso County
8043,Fremont County,85.45,3990000,CO,46692,USA.CO.Fremont County
8045,Garfield County,111.89,6500000,CO,58095,USA.CO.Garfield County
8047,Gilpin County,72.07,420000,CO,5827,USA.CO.Gilpin County
8049,Grand County,101.27,1480000,CO,14615,USA.CO.Grand County
8051,Gunnison County,67.22,1080000,CO,16067,USA.CO.Gunnison County
8053,Hinsdale County,167.96,130000,CO,774,USA.CO.Hinsdale County
8055,Huerfano County,135.55,880000,CO,6492,USA.CO.Huerfano County
8057,Jackson County,125.37,170000,CO,1355,USA.CO.Jackson County
8059,Jefferson County,94.55,53470000,CO,565524,USA.CO.Jefferson County
8061,Kiowa County,98.38,140000,CO,1423,USA.CO.Kiowa County
8063,Kit Carson County,137.92,1070000,CO,7757,USA.CO.Kit Carson County
8065,Lake County,93.52,700000,CO,7485,USA.CO.Lake County
8067,La Plata County,94.72,5180000,CO,54688,USA.CO.La Plata County
8069,Larimer County,91.64,30570000,CO,333577,USA.CO.Larimer County
8071,Las Animas County,207,2910000,CO,14058,USA.CO.Las Animas County
8073,Lincoln County,88.18,490000,CO,5557,USA.CO.Lincoln County
8075,Logan County,73.06,1610000,CO,22035,USA.CO.Logan County
8077,Mesa County,75.68,11240000,CO,148513,USA.CO.Mesa County
8079,Mineral County,151.52,110000,CO,726,USA.CO.Mineral County
8081,Moffat County,77.3,1000000,CO,12937,USA.CO.Moffat County
8083,Montezuma County,74.9,1960000,CO,26168,USA.CO.Montezuma County
8085,Montrose County,193.91,7940000,CO,40946,USA.CO.Montrose County
8087,Morgan County,127.64,3620000,CO,28360,USA.CO.Morgan County
8089,Otero County,78.5,1440000,CO,18343,USA.CO.Otero County
8091,Ouray County,162.01,760000,CO,4691,USA.CO.Ouray County
8093,Park County,21.2,350000,CO,16510,USA.CO.Park County
8095,Phillips County,147.16,640000,CO,4349,USA.CO.Phillips County
8097,Pitkin County,129.87,2310000,CO,17787,USA.CO.Pitkin County
8099,Prowers County,114.61,1370000,CO,11954,USA.CO.Prowers County
8101,Pueblo County,60.76,9940000,CO,163591,USA.CO.Pueblo County
8103,Rio Blanco County,162.84,1070000,CO,6571,USA.CO.Rio Blanco County
8105,Rio Grande County,67.57,780000,CO,11543,USA.CO.Rio Grande County
8107,Routt County,75.01,1810000,CO,24130,USA.CO.Routt County
8109,Saguache County,124.78,780000,CO,6251,USA.CO.Saguache County
8111,San Juan County,114.12,80000,CO,701,USA.CO.San Juan County
8113,San Miguel County,64.73,510000,CO,7879,USA.CO.San Miguel County
8115,Sedgwick County,170.9,410000,CO,2399,USA.CO.Sedgwick County
8117,Summit County,203.92,6170000,CO,30256,USA.CO.Summit County
8119,Teller County,47.04,1100000,CO,23385,USA.CO.Teller County
8121,Washington County,53.45,260000,CO,4864,USA.CO.Washington County
8123,Weld County,94.12,26840000,CO,285174,USA.CO.Weld County
8125,Yuma County,87.72,890000,CO,10146,USA.CO.Yuma County
9001,Fairfield County,31.62,29980000,CT,948053,USA.CT.Fairfield County
9003,Hartford County,28.23,25290000,CT,895841,USA.CT.Hartford County
9005,Litchfield County,19.83,3640000,CT,183602,USA.CT.Litchfield County
9007,Middlesex County,19.26,3160000,CT,164063,USA.CT.Middlesex County
9009,New Haven County,24.41,20980000,CT,859470,USA.CT.New Haven County
9011,New London County,24.31,6610000,CT,271863,USA.CT.New London County
9013,Tolland County,25.29,3830000,CT,151420,USA.CT.Tolland County
9015,Windham County,21.45,2500000,CT,116573,USA.CT.Windham County
10001,Kent County,56.36,9780000,DE,173533,USA.DE.Kent County
10003,New Castle County,71.81,39980000,DE,556779,USA.DE.New Castle County
10005,Sussex County,52.78,11380000,DE,215622,USA.DE.Sussex County
11001,District of Columbia,66.61,44780000,DC,672228,USA.DC.District of Columbia
12001,Alachua County,49.01,12740000,FL,259964,USA.FL.Alachua County
12003,Baker County,13.13,360000,FL,27420,USA.FL.Baker County
12005,Bay County,79.45,14430000,FL,181635,USA.FL.Bay County
12007,Bradford County,21.91,590000,FL,26928,USA.FL.Bradford County
12009,Brevard County,58.21,33070000,FL,568088,USA.FL.Brevard County
12011,Broward County,81.07,153740000,FL,1896425,USA.FL.Broward County
12013,Calhoun County,24.2,350000,FL,14462,USA.FL.Calhoun County
12015,Charlotte County,70.76,12250000,FL,173115,USA.FL.Charlotte County
12017,Citrus County,72.95,10290000,FL,141058,USA.FL.Citrus County
12019,Clay County,39.86,8130000,FL,203967,USA.FL.Clay County
12021,Collier County,99.63,35600000,FL,357305,USA.FL.Collier County
12023,Columbia County,22.53,1540000,FL,68348,USA.FL.Columbia County
12027,DeSoto County,34.12,1210000,FL,35458,USA.FL.DeSoto County
12029,Dixie County,19.75,320000,FL,16203,USA.FL.Dixie County
12031,Duval County,74.99,68470000,FL,913010,USA.FL.Duval County
12033,Escambia County,78.17,24310000,FL,311003,USA.FL.Escambia County
12035,Flagler County,61.86,6520000,FL,105392,USA.FL.Flagler County
12037,Franklin County,120.74,1420000,FL,11761,USA.FL.Franklin County
12039,Gadsden County,59.3,2730000,FL,46036,USA.FL.Gadsden County
12041,Gilchrist County,5.81,100000,FL,17199,USA.FL.Gilchrist County
12043,Glades County,27.07,370000,FL,13670,USA.FL.Glades County
12045,Gulf County,92.62,1470000,FL,15870,USA.FL.Gulf County
12047,Hamilton County,31.48,450000,FL,14295,USA.FL.Hamilton County
12049,Hardee County,38.54,1060000,FL,27502,USA.FL.Hardee County
12051,Hendry County,47.29,1850000,FL,39119,USA.FL.Hendry County
12053,Hernando County,77.11,13760000,FL,178439,USA.FL.Hernando County
12055,Highlands County,50.36,5010000,FL,99491,USA.FL.Highlands County
12057,Hillsborough County,54.05,72910000,FL,1349050,USA.FL.Hillsborough County
12059,Holmes County,31.57,610000,FL,19324,USA.FL.Holmes County
12061,Indian River County,74.91,11080000,FL,147918,USA.FL.Indian River County
12063,Jackson County,27.37,1330000,FL,48599,USA.FL.Jackson County
12065,Jefferson County,29.83,420000,FL,14081,USA.FL.Jefferson County
12067,Lafayette County,8.08,70000,FL,8663,USA.FL.Lafayette County
12069,Lake County,111.45,36320000,FL,325875,USA.FL.Lake County
12071,Lee County,58.39,40990000,FL,701982,USA.FL.Lee County
12073,Leon County,55.26,15820000,FL,286272,USA.FL.Leon County
12075,Levy County,21.84,870000,FL,39832,USA.FL.Levy County
12077,Liberty County,42.01,350000,FL,8331,USA.FL.Liberty County
12079,Madison County,41.29,760000,FL,18408,USA.FL.Madison County
12081,Manatee County,67.62,24570000,FL,363369,USA.FL.Manatee County
12083,Marion County,53.05,18210000,FL,343254,USA.FL.Marion County
12085,Martin County,65.01,10160000,FL,156283,USA.FL.Martin County
12086,Miami-Dade County,80.48,216740000,FL,2693117,USA.FL.Miami-Dade County
12087,Monroe County,157.33,12190000,FL,77482,USA.FL.Monroe County
12089,Nassau County,60.55,4750000,FL,78444,USA.FL.Nassau County
12091,Okaloosa County,66.54,13220000,FL,198664,USA.FL.Okaloosa County
12093,Okeechobee County,43.58,1720000,FL,39469,USA.FL.Okeechobee County
12095,Orange County,85.27,109840000,FL,1288126,USA.FL.Orange County
12097,Osceola County,91.95,29790000,FL,323993,USA.FL.Osceola County
12099,Palm Beach County,118.29,168300000,FL,1422789,USA.FL.Palm Beach County
12101,Pasco County,61.72,30730000,FL,497909,USA.FL.Pasco County
12103,Pinellas County,53.25,50580000,FL,949827,USA.FL.Pinellas County
12105,Polk County,73.67,47890000,FL,650092,USA.FL.Polk County
12107,Putnam County,13.33,960000,FL,72023,USA.FL.Putnam County
12109,St Johns County,40.46,9170000,FL,226640,USA.FL.St Johns County
12111,St Lucie County,70.14,20940000,FL,298563,USA.FL.St Lucie County
12113,Santa Rosa County,68.79,11490000,FL,167040,USA.FL.Santa Rosa County
12115,Sarasota County,54.32,22030000,FL,405549,USA.FL.Sarasota County
12117,Seminole County,85.79,38530000,FL,449144,USA.FL.Seminole County
12119,Sumter County,162,19260000,FL,118891,USA.FL.Sumter County
12121,Suwannee County,10.74,470000,FL,43760,USA.FL.Suwannee County
12123,Taylor County,48.9,1100000,FL,22493,USA.FL.Taylor County
12125,Union County,4.59,70000,FL,15234,USA.FL.Union County
12127,Volusia County,69.28,35880000,FL,517886,USA.FL.Volusia County
12129,Wakulla County,42.49,1340000,FL,31535,USA.FL.Wakulla County
12131,Walton County,126.76,8050000,FL,63508,USA.FL.Walton County
12133,Washington County,19.85,490000,FL,24686,USA.FL.Washington County
13001,Appling County,28.72,530000,GA,18454,USA.GA.Appling County
13003,Atkinson County,28.58,240000,GA,8398,USA.GA.Atkinson County
